iter	Passed	Remaining
0	1	281
1	1	265
2	2	267
3	3	263
4	4	258
5	5	255
6	6	249
7	7	249
8	8	251
9	9	249
10	10	249
11	11	254
12	12	255
13	13	254
14	14	255
15	15	253
16	16	254
17	18	257
18	18	255
19	20	255
20	21	254
21	21	251
22	23	252
23	24	251
24	24	249
25	25	248
26	26	247
27	27	246
28	28	245
29	29	243
30	30	242
31	31	240
32	32	240
33	33	239
34	34	237
35	35	236
36	36	235
37	37	236
38	39	236
39	40	235
40	41	234
41	42	233
42	43	232
43	44	231
44	45	231
45	46	229
46	47	228
47	48	227
48	49	229
49	50	228
50	51	227
51	52	226
52	53	225
53	54	224
54	55	223
55	56	222
56	57	221
57	58	220
58	59	218
59	60	217
60	61	217
61	62	215
62	63	214
63	64	213
64	66	213
65	67	212
66	68	211
67	69	210
68	69	208
69	70	207
70	71	206
71	72	204
72	73	203
73	74	202
74	75	201
75	76	200
76	77	199
77	78	198
78	79	196
79	80	195
80	81	194
81	82	193
82	83	192
83	84	191
84	85	190
85	86	189
86	87	188
87	88	187
88	89	187
89	90	186
90	91	185
91	92	184
92	93	183
93	94	182
94	95	181
95	97	180
96	97	179
97	98	178
98	99	177
99	101	176
100	102	175
101	103	174
102	104	173
103	105	173
104	106	171
105	107	170
106	108	169
107	109	168
108	110	167
109	111	166
110	112	165
111	113	164
112	114	164
113	115	163
114	116	162
115	118	161
116	119	161
117	120	159
118	121	158
119	122	157
120	123	156
121	124	155
122	125	154
123	126	153
124	127	152
125	128	151
126	129	150
127	130	149
128	131	148
129	132	147
130	133	146
131	134	145
132	135	144
133	136	143
134	137	142
135	138	141
136	139	140
137	140	139
138	141	138
139	142	137
140	143	136
141	144	135
142	145	134
143	146	133
144	147	132
145	148	131
146	149	130
147	150	129
148	151	128
149	152	127
150	153	126
151	154	125
152	155	124
153	156	123
154	157	122
155	158	121
156	159	120
157	161	119
158	162	118
159	163	117
160	164	116
161	165	115
162	166	114
163	168	113
164	168	112
165	169	111
166	170	110
167	171	109
168	173	108
169	174	107
170	175	106
171	176	105
172	177	104
173	178	103
174	179	102
175	180	101
176	180	100
177	181	99
178	182	98
179	183	96
180	184	95
181	185	94
182	186	93
183	188	93
184	189	91
185	190	90
186	190	89
187	191	88
188	193	87
189	194	86
190	195	85
191	196	84
192	197	83
193	198	82
194	199	81
195	200	80
196	201	79
197	202	78
198	203	77
199	204	76
200	205	75
201	206	74
202	207	73
203	208	72
204	209	71
205	210	70
206	213	70
207	214	68
208	215	68
209	216	67
210	217	66
211	219	65
212	220	64
213	221	63
214	222	62
215	223	61
216	224	60
217	225	59
218	226	58
219	227	56
220	228	55
221	229	54
222	230	53
223	231	52
224	233	51
225	233	50
226	235	49
227	235	48
228	236	47
229	237	46
230	238	45
231	239	44
232	240	43
233	241	42
234	243	41
235	244	40
236	245	39
237	246	38
238	247	37
239	248	36
240	249	35
241	250	34
242	251	33
243	252	32
244	253	31
245	254	30
246	255	29
247	256	27
248	258	26
249	259	25
250	260	24
251	261	23
252	263	22
253	264	21
254	265	20
255	266	19
256	267	18
257	268	17
258	270	16
259	271	15
260	272	14
261	273	13
262	274	12
263	275	11
264	276	10
265	277	9
266	278	8
267	279	7
268	280	6
269	282	5
270	282	4
271	283	3
272	285	2
273	286	1
274	287	0
